state,FIPS,county,number,percent
AK,02013,Aleutians East Borough,214,7.8
AK,02016,Aleutians West,297,6.3
AK,02020,Anchorage Municipality,15195,7.1
AK,02050,Bethel Census Area,658,6.1
AK,02060,Bristol Bay Borough,64,8.8
AK,02068,Denali Borough,83,5.8
AK,02070,Dillingham Census Area,237,7.4
AK,02090,Fairbanks North Star,4129,5.7
AK,02100,Haines Borough,140,7
AK,02232,Hoonah-Angoon 2004 to 2008 Census,No Data,No Data
AK,02105,Hoonah-Angoon 2009 Census,135,8.1
AK,02110,Juneau City and Borough,1487,6.1
AK,02122,Kenai Peninsula Borough,2994,7.1
AK,02130,Ketchikan Gateway Borough,891,8.7
AK,02150,Kodiak Island Borough,585,5.9
AK,02164,Lake and Peninsula Borough,88,8
AK,02170,Matanuska-Susitna Borough,5238,8.1
AK,02180,Nome Census Area,426,6.9
AK,02185,North Slope Borough,518,7.4
AK,02188,Northwest Arctic Borough,324,6.8
AK,02195,Petersburg 2009 Census,201,7
AK,02198,Prince of Wales-Hyder 2009 Census,323,7.7
AK,02201,Prince of Wales-Outer K 2004 to 2008 Census,No Data,No Data
AK,02220,Sitka City and Borough,502,7.4
AK,02230,Skagway Municipality 2009 Census,56,6.7
AK,02240,Southeast Fairbanks Census,333,6.5
AK,02261,Valdez-Cordova Census Area,472,6.7
AK,02270,Wade Hampton Census Area,232,5.4
AK,02275,Wrangell City and Borough 2009 Census,159,8.7
AK,02280,Wrangell-Petersburg 2004 to 2008 Census,No Data,No Data
AK,02282,Yakutat City and Borough,39,7.9
AK,02290,Yukon-Koyukuk Census Area,328,8.1
AL,01001,Autauga County,4724,12
AL,01003,Baldwin County,15437,10.8
AL,01005,Barbour County,3377,16.2
AL,01007,Bibb County,2276,13.2
AL,01009,Blount County,5869,13.8
AL,01011,Bullock County,1527,18.6
AL,01013,Butler County,2507,16.4
AL,01015,Calhoun County,12582,14.3
AL,01017,Chambers County,4102,15.8
AL,01019,Cherokee County,2993,14.9
AL,01021,Chilton County,4234,13.2
AL,01023,Choctaw County,1960,18.9
AL,01025,Clarke County,2948,15.8
AL,01027,Clay County,1455,14.3
AL,01029,Cleburne County,1484,13.3
AL,01031,Coffee County,5313,14
AL,01033,Colbert County,6928,16.8
AL,01035,Conecuh County,1746,17.8
AL,01037,Coosa County,1441,16.7
AL,01039,Covington County,4435,15.5
AL,01041,Crenshaw County,1604,15.4
AL,01043,Cullman County,8293,13.7
AL,01045,Dale County,5358,14.5
AL,01047,Dallas County,5347,17.5
AL,01049,DeKalb County,7716,15
AL,01051,Elmore County,7530,12.6
AL,01053,Escambia County,4630,16.1
AL,01055,Etowah County,11804,15.1
AL,01057,Fayette County,2045,15.8
AL,01059,Franklin County,3121,13.5
AL,01061,Geneva County,2996,14.7
AL,01063,Greene County,1379,21
AL,01065,Hale County,1956,17.2
AL,01067,Henry County,2188,16.7
AL,01069,Houston County,10657,14
AL,01071,Jackson County,5735,14.3
AL,01073,Jefferson County,60238,12.3
AL,01075,Lamar County,1748,16.1
AL,01077,Lauderdale County,9158,13
AL,01079,Lawrence County,3977,15.7
AL,01081,Lee County,10552,9.7
AL,01083,Limestone County,7745,11.9
AL,01085,Lowndes County,1880,23.5
AL,01087,Macon County,2708,17.8
AL,01089,Madison County,29744,11.7
AL,01091,Marengo County,2778,18.5
AL,01093,Marion County,3884,16.6
AL,01095,Marshall County,9247,13.5
AL,01097,Mobile County,41997,13.9
AL,01099,Monroe County,2660,16.1
AL,01101,Montgomery County,22734,13.8
AL,01103,Morgan County,12160,13.6
AL,01105,Perry County,1285,17.9
AL,01107,Pickens County,2584,17.8
AL,01109,Pike County,3468,14
AL,01111,Randolph County,2718,16.1
AL,01113,Russell County,5782,13.9
AL,01117,Shelby County,12622,8.6
AL,01115,St. Clair County,8222,13
AL,01119,Sumter County,1589,16
AL,01121,Talladega County,8356,13.6
AL,01123,Tallapoosa County,4502,14.4
AL,01125,Tuscaloosa County,16403,11.2
AL,01127,Walker County,7742,15.5
AL,01129,Washington County,2050,16.3
AL,01131,Wilcox County,1645,20.1
AL,01133,Winston County,2268,12.2
AR,05001,Arkansas County,1829,13
AR,05003,Ashley County,2135,13.4
AR,05005,Baxter County,4364,13.2
AR,05007,Benton County,16401,10
AR,05009,Boone County,3403,12.2
AR,05011,Bradley County,1057,12.5
AR,05013,Calhoun County,540,12.9
AR,05015,Carroll County,2616,12.5
AR,05017,Chicot County,1399,16.4
AR,05019,Clark County,1933,11.5
AR,05021,Clay County,1330,11.2
AR,05023,Cleburne County,2759,13.7
AR,05025,Cleveland County,916,14.4
AR,05027,Columbia County,2226,12.6
AR,05029,Conway County,1984,12.6
AR,05031,Craighead County,8765,12.2
AR,05033,Crawford County,4959,11.1
AR,05035,Crittenden County,5381,15.6
AR,05037,Cross County,1749,13.6
AR,05039,Dallas County,843,14.1
AR,05041,Desha County,1296,14.4
AR,05043,Drew County,1695,12.4
