zip,county,ratio
00501,36103,1
00601,72001,1
00602,72003,1
00603,72005,0.992323725
00603,72071,0.007676275
00604,72005,1
00605,72005,1
00606,72093,1
00610,72011,1
00611,72141,1
00612,72013,0.996264301
00612,72054,0.002451553
00612,72141,0.000972838
00612,72065,0.000311308
00613,72013,1
00614,72013,1
00616,72013,1
00617,72017,0.983694662
00617,72054,0.016305338
00622,72023,1
00623,72023,0.999219407
00623,72097,0.000780593
00624,72111,1
00627,72027,1
00631,72081,1
00637,72121,1
00638,72039,0.997110706
00638,72091,0.00243309
00638,72107,0.000456204
00641,72141,1
00646,72051,0.988421847
00646,72135,0.010634281
00646,72137,0.000943871
00647,72055,1
00650,72054,1
00652,72013,1
00653,72055,0.995487786
00653,72153,0.004512214
00656,72059,1
00659,72065,1
00660,72067,0.999575912
00660,72097,0.000424088
00662,72071,0.998836307
00662,72005,0.001163693
00664,72073,1
00667,72079,0.98829376
00667,72023,0.01170624
00669,72081,1
00670,72083,1
00674,72091,0.999947218
00674,72101,5.27816E-05
00676,72099,1
00677,72117,0.999440716
00677,72011,0.000559284
00678,72115,1
00680,72097,0.999747867
00680,72023,0.000252133
00681,72097,1
00682,72097,1
00683,72125,0.990239843
00683,72097,0.009760157
00685,72131,0.999688803
00685,72099,0.000311197
00687,72101,0.997661413
00687,72145,0.002338587
00688,72013,1
00690,72005,0.957755563
00690,72071,0.042244437
00692,72143,0.934660422
00692,72101,0.064715066
00692,72145,0.000624512
00693,72145,0.991968065
00693,72091,0.008031935
00694,72145,1
00698,72153,1
00703,72007,0.995439647
00703,72025,0.004560353
00704,72123,1
00705,72009,0.998813479
00705,72043,0.001186521
00707,72095,1
00714,72015,1
00715,72113,1
00716,72113,1
00717,72113,1
00718,72103,1
00719,72105,1
00720,72107,0.798659762
00720,72101,0.19463905
00720,72149,0.006701188
00721,72119,1
00723,72109,0.997350787
00723,72057,0.002649213
00725,72025,0.995882187
00725,72041,0.003049068
00725,72129,0.000943011
00725,72063,0.000125735
00726,72025,1
00727,72025,0.997743937
00727,72127,0.002256063
00728,72113,1
00729,72029,0.972321255
00729,72087,0.022039282
00729,72063,0.003629999
00729,72031,0.002009464
00730,72113,1
00731,72113,1
00732,72113,1
00733,72113,1
00735,72037,1
00736,72035,0.99888724
00736,72025,0.00111276
00737,72035,1
00738,72053,1
00739,72041,1
00740,72053,1
00741,72069,1
00742,72037,1
00744,72103,1
00745,72119,0.898231974
00745,72029,0.101768026
00751,72123,0.998729645
00751,72133,0.001270355
00754,72129,0.95931255
00754,72063,0.039248601
00754,72025,0.001438849
00757,72133,0.995790951
00757,72123,0.004209049
00765,72147,1
00766,72149,1
00767,72151,1
00769,72043,1
00771,72085,0.980159753
00771,72129,0.019324916
00771,72077,0.000515331
00772,72087,1
00773,72089,0.999810373
00773,72119,0.000189627
00775,72049,1
00777,72077,0.943601012
00777,72063,0.056398988
00778,72063,0.999935505
00778,72077,6.44953E-05
00780,72113,1
00782,72045,1
00783,72047,0.998998331
00783,72135,0.001001669
00784,72057,1
00785,72057,1
00786,72009,1
00791,72069,1
00792,72069,1
00794,72019,1
00795,72075,0.984083277
00795,72113,0.015916723
00802,78030,1
00820,78010,1
00830,78020,1
00840,78010,1
00850,78010,1
00901,72127,1
00902,72127,1
00907,72127,1
00908,72127,1
00909,72127,1
00910,72127,1
00911,72127,1
00912,72127,1
00913,72127,0.999753876
00913,72031,0.000246124
00914,72127,1
00915,72127,1
00916,72127,1
00917,72127,1
00918,72127,1
00919,72127,1
00920,72127,0.985373364
00920,72021,0.012867041
00920,72061,0.001759595
00921,72127,0.999118499
00921,72031,0.000818537
00921,72021,6.29644E-05
00922,72061,1
00923,72127,1
00924,72127,0.957936262
00924,72031,0.024865919
00924,72139,0.017197819
00925,72127,1
00926,72127,0.983843639
00926,72139,0.011836861
00926,72031,0.003150132
00926,72021,0.001073909
00926,72025,9.54586E-05
00927,72127,1
00928,72127,1
00929,72127,1
00931,72127,1
00934,72061,0.944007859
00934,72021,0.055992141
00935,72127,1
00936,72127,1
00937,72031,1
00940,72127,1
00949,72137,0.999306134
00949,72135,0.000693866
00950,72137,1
00951,72137,1
00952,72137,1
00953,72135,0.96267332
00953,72137,0.035935326
00953,72021,0.001391354
00954,72135,1
00956,72021,0.949149975
00956,72033,0.050698573
00956,72127,0.000151452
00957,72021,0.999143364
00957,72033,0.000856636
00958,72021,1
00959,72021,0.944860072
00959,72127,0.053985407
00959,72061,0.000692713
00959,72033,0.000461808
00960,72021,1
00961,72021,0.98469847
00961,72033,0.008446999
00961,72127,0.006854532
00962,72033,0.969232503
00962,72127,0.018483038
00962,72021,0.012284458
00963,72033,1
00965,72061,0.99825556
